"scenario","yr","catch","SpawnBio_low","dep_low","OFL_low","SpawnBio_base","dep_base","OFL_base","SpawnBio_high","dep_high","OFL_high"
"P*0.45",2025,10669,7044.04,29.2,3844.87,10571.7,50.1,6133.56,12934.6,63.2,7906.2
"P*0.45",2026,9824,6039.37,25.1,3162.72,9630.18,45.6,5339.74,11972.3,58.5,6985.33
"P*0.45",2027,4596,5183.26,21.5,2817.88,8799.27,41.7,4916.03,11102.2,54.2,6469.66
"P*0.45",2028,4810,5135.72,21.3,3079,8763.01,41.5,5171.87,11022.1,53.8,6691.98
"P*0.45",2029,5137,5231,21.7,3412.47,8869.58,42,5547.76,11084.5,54.1,7063.88
"P*0.45",2030,5409,5387.56,22.3,3666.01,9054.47,42.9,5866.4,11229.7,54.8,7385.94
"P*0.45",2031,5545,5525.3,22.9,3771.44,9245.68,43.8,6046.56,11387.4,55.6,7566.48
"P*0.45",2032,5585,5601.32,23.2,3753.26,9403.42,44.5,6116.89,11518.6,56.3,7638.72
"P*0.45",2033,5572,5608.9,23.3,3665.17,9520.54,45.1,6129.78,11617.1,56.7,7658.53
"P*0.45",2034,5535,5563.03,23.1,3557.19,9605.99,45.5,6122.88,11691.3,57.1,7660.95
"P*0.45",2035,5504,5486.44,22.8,3460.49,9671.68,45.8,6115.96,11750.8,57.4,7661.73
"P*0.45",2036,5480,5397.69,22.4,3385.87,9725.54,46.1,6115.62,11800.5,57.6,7665.15
