Fleet,Year,Source,Discards,CV
Bottom Trawl,1985,Pikitch,462.90,49.53%
Bottom Trawl,1986,Pikitch,534.80,53.11%
Bottom Trawl,1987,Pikitch,1035.50,42.57%
Bottom Trawl,1995,EDCP,924.80,83.18%
Bottom Trawl,1996,EDCP,3084.50,67.07%
Bottom Trawl,1997,EDCP,3353.30,75.06%
Bottom Trawl,1998,EDCP,42.60,48.80%
Bottom Trawl,1999,EDCP,4.80,68.78%
Bottom Trawl,2002,WCGOP,13.22,43.07%
Bottom Trawl,2003,WCGOP,1.21,81.96%
Bottom Trawl,2004,WCGOP,5.13,75.89%
Bottom Trawl,2005,WCGOP,10.17,44.61%
Bottom Trawl,2006,WCGOP,0.03,135.56%
Bottom Trawl,2007,WCGOP,13.86,61.57%
Bottom Trawl,2008,WCGOP,3.90,44.54%
Bottom Trawl,2009,WCGOP,26.57,33.77%
Bottom Trawl,2010,WCGOP,22.74,54.32%
Bottom Trawl,2011,WCGOP,0.0800,5.00%
Bottom Trawl,2012,WCGOP,0.0100,5.00%
Bottom Trawl,2013,WCGOP,2.4300,5.00%
Bottom Trawl,2014,WCGOP,0.0900,5.00%
Bottom Trawl,2015,WCGOP,0.0300,5.00%
Bottom Trawl,2016,WCGOP,0.0200,5.00%
Bottom Trawl,2017,WCGOP,0.2600,5.00%
Bottom Trawl,2018,WCGOP,0.0143,5.00%
Bottom Trawl,2019,WCGOP,0.7832,5.00%
Bottom Trawl,2020,WCGOP,0.2763,5.00%
Bottom Trawl,2021,WCGOP,0.1440,5.00%
Bottom Trawl,2022,WCGOP,0.0750,5.00%
Bottom Trawl,2023,WCGOP,0.1184,5.00%
Midwater,1985,Pikitch,1502.00,24.09%
Midwater,1986,Pikitch,1321.20,23.64%
Midwater,1987,Pikitch,1798.40,26.20%
Midwater,1997,EDCP,1.00,83.26%
Midwater,1998,EDCP,18.70,80.00%
Midwater,2002,WCGOP,39.40,40.71%
Midwater,2012,WCGOP,0,5.00%
Midwater,2013,WCGOP,0.0020,5.00%
Midwater,2014,WCGOP,0.0136,5.00%
Midwater,2015,WCGOP,0.88,5.00%
Midwater,2016,WCGOP,1.56,5.00%
Midwater,2017,WCGOP,9.75,5.00%
Midwater,2018,WCGOP,37.23,5.00%
Midwater,2019,WCGOP,18.78,5.00%
Midwater,2020,WCGOP,45.44,5.00%
Midwater,2021,WCGOP,36.38,5.00%
Midwater,2022,WCGOP,47.60,5.00%
Midwater,2023,WCGOP,17.37,5.00%
