"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 4+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_50%)","Exploitation Rate"
1916,159678,83039.2,153922,0.99817768310919,34375.1,78.37263,0.0115823,0.000509171073660685
1917,159552,82972.9,153799,0.99738071998346,34343.1,121.94727,0.0179893,0.000792900278935494
1918,159384,82882.6,153637,0.996295263418551,34307.1,140.1834,0.0206785,0.000912432552054518
1919,159203,82783.6,153460,0.99510522798194,34267.6,96.77879,0.0143297,0.000630645054085755
1920,159066,82711.1,153330,0.994233737384422,34225.6,99.0504,0.0146766,0.00064599491293289
1921,158928,82638.6,153198,0.993362246786904,34179.7,82.12646,0.0121918,0.000536080497134427
1922,158805,82576.4,153082,0.992614567957034,34129.9,71.29717,0.0105992,0.0004657449602174
1923,158690,82520.1,152974,0.991937810430961,34075.6,78.30202,0.0116438,0.000511864892073163
1924,158563,82458.7,152855,0.991199748049063,34016,50.29657,0.00749875,0.000329047594125151
1925,158457,82411.1,152758,0.990627569394693,33951.2,62.26091,0.00928648,0.000407578719281478
1926,158331,82353.8,152642,0.989938791308654,33879.9,94.72768,0.0140969,0.000620587256456283
1927,158165,82274.7,152486,0.988987965015362,33801,78.6686,0.0117136,0.000515907034088375
1928,158005,82201.1,152337,0.988103251801882,33715,89.5677,0.0133283,0.000587957620276098
1929,157823,82117.1,152169,0.987093524764758,33620.6,86.996,0.012935,0.000571706457951357
1930,157633,82029.7,151992,0.98604292782375,33517.3,112.5701,0.0167643,0.000740631743775988
1931,157405,81923,151779,0.984760334075403,33403.9,100.116,0.0149341,0.000659616943055363
1932,157175,81817.6,151566,0.983493367055011,33280.3,100.3135,0.0149772,0.000661846984152119
1933,156928,81705.7,151337,0.982148266394842,33145.4,86.2188,0.0128451,0.000569713949662013
1934,156677,81594.3,151107,0.980809176014655,32998.5,91.23,0.0136286,0.000603744366574679
1935,156401,81471.5,150851,0.979333051250859,32838.2,98.4206,0.014732,0.000652435847293024
1936,156093,81335,150568,0.977692244815532,32662.8,110.9042,0.0166485,0.000736572180011689
1937,155749,81181,150250,0.975841078580805,32470.2,103.8825,0.0155861,0.000691397670549085
1938,155384,81019.3,149913,0.97389735403434,32258.3,84.1661,0.0126542,0.000561432964452716
1939,155008,80855.7,149568,0.971930790423941,32024.1,77.0011,0.0115642,0.000514823357937527
1940,154603,80681.3,149197,0.969834404765912,31767.4,121.4003,0.0181862,0.000813691294060872
1941,154117,80465.4,148749,0.967239165869303,31486.4,130.4653,0.0195384,0.000877083543418779
1942,153583,80227.4,148256,0.964378272597451,31182.2,147.987,0.0220994,0.000998185570904382
1943,152988,79960.9,147707,0.961174793366574,30862.7,495.365,0.0725151,0.00335370023086245
1944,152017,79478.2,146785,0.955372469071099,30530.3,969.996,0.13864,0.00660827741254215
1945,150569,78716,145389,0.946210398265193,30183.2,1637.06,0.22666,0.0112598614750772
1946,148493,77579.7,143367,0.932551435976093,29826.4,1171.06,0.169155,0.00816826745345861
1947,146907,76732.5,141838,0.922367617573097,29499.2,648.778,0.0981014,0.00457407746866143
1948,145830,76193.7,140819,0.915890939863543,29198.6,482.072,0.0740775,0.0034233448611338
1949,144885,75742.1,139931,0.910462454983003,28927.2,377.682,0.0588298,0.00269905882184791
1950,143998,75333,139096,0.905544843901008,28704,427.241,0.0667418,0.00307155489733709
1951,143018,74871.8,138163,0.900000961644797,28554,559.033,0.0869448,0.00404618457908413
1952,141876,74310.5,137061,0.893253821336013,28506.7,546.541,0.0856711,0.00398757487542043
1953,140731,73736,135944,0.886348009635681,28606.6,473.899,0.0751361,0.00348598687694933
1954,139655,73186.1,134883,0.879737903710507,28897.3,452.235,0.0723841,0.00335279464424724
1955,138621,72636.4,133841,0.873130201897325,29416.6,469.498,0.0756082,0.00350787875165308
1956,137623,72072.8,132806,0.86635541430062,30174.6,606.525,0.0975831,0.00456699998494044
1957,136589,71440.4,131702,0.85875361217827,31100,768.031,0.123178,0.00583158190460282
1958,135556,70746.3,130561,0.850410141506032,31974.9,708.346,0.115167,0.00542540268533482
1959,134795,70143.5,129664,0.843164147958668,32468.8,678.072,0.111364,0.00522945459032577
1960,134312,69640.8,129041,0.837121412463878,32378.3,818.838,0.133994,0.00634556458799916
1961,133959,69168.8,128583,0.831447708160037,31982,683.773,0.113663,0.00531775584641827
1962,133988,68912.5,128576,0.828366838640811,31980.3,765.042,0.126798,0.00595011510701842
1963,134142,68757.6,128755,0.826504853902114,32910.4,437.586,0.0743922,0.00339859422935032
1964,134769,68929.4,129397,0.828569986104233,34284.9,607.231,0.101524,0.00469277494841457
1965,135352,69110.8,129903,0.830750515682023,35879.5,261.871,0.044765,0.00201589647660177
1966,136413,69562.5,130771,0.836180202618559,37660.7,4293.113,0.54837,0.0328292434867058
1967,133881,67715,127998,0.813972218081807,37556,4830.293,0.609265,0.0377372537070892
1968,131359,65763.9,125248,0.790518903532602,35279.6,2392.646,0.362371,0.0191032671180378
1969,131643,65480,125428,0.787106266558321,30423.6,852.222,0.145724,0.00679451159230794
1970,133978,66303.2,127580,0.797001591522139,121568,854.759,0.14448,0.00669978836808277
1971,137381,67275.6,129879,0.80869038403285,99879.2,1095.454,0.17929,0.0084344197291325
1972,142365,68198.2,131666,0.819780552657265,13364.8,923.746,0.150882,0.00701582792824267
