"Year","BottomTrawl (mt)","MidwaterTrawl (mt)","Hake (mt)","Net (mt)","HnL (mt)","Total Landings (mt)","Total Dead (mt)"
2015,12.18,479.2,386.2,0,2.09482,879.67482,879.85982
2016,9.62,588,440.8,0,1.00793,1039.42793,1039.6021
2017,35.93,4852.1,1455.2,0,2.69737,6345.92737,6361.50027
2018,35.93,9374.3,1081.3,0,1.63811,10493.16811,10522.92101
2019,27.8571,8157.92,1101.55,0,2.11612,9289.44322,9315.29462
2020,73.6268,7532.17,746.694,0.00181437,2.74634,8355.23895437,8379.59265437
2021,103.741,10141.3,617.298,0,4.54716,10866.88616,10899.73416
2022,126.776,10839.8,1119.03,0.0548847,8.77075,12094.4316347,12129.7126347
2023,82.331,10228,673.161,0,7.07973,10990.57173,11023.50333
2024,27.587,9160.79,533.84,0,12.9002,9735.1172,9764.1159
