"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1916,75.2313,310.887,831.547,1646,2693.55,3660.95,4439.11,4987.43,5309.88,5434.42,5398.81,5241.97,4999.28,4700.64,4369.96,4025.53,3680.82,3349.68,3028.87,2727.72,2448.33,2191.51,1957.17,1744.6,1552.69,1380.1,1225.37,1087.01,963.563,853.603,755.801,668.918,591.81,523.435,462.844,409.182,361.679,319.645,282.462,249.58,1887.4
1917,75.1628,310.599,830.975,1644.97,2691.98,3658.72,4435.87,4983.17,5304.98,5429.34,5393.85,5237.3,4994.98,4696.73,4366.43,4022.38,3678.03,3342.86,3027.14,2726.16,2446.93,2190.26,1956.05,1743.6,1551.8,1379.31,1224.67,1086.39,963.012,853.115,755.369,668.535,591.472,523.135,462.579,408.948,361.473,319.462,282.301,249.437,1886.32
1918,75.0859,310.316,830.203,1643.84,2690.28,3656.41,4432.55,4978.39,5298.93,5422.65,5387.11,5230.83,4988.94,4691.18,4361.4,4017.85,3673.98,3339.25,3020.02,2723.73,2444.75,2188.31,1954.31,1742.05,1550.42,1378.08,1223.58,1085.43,962.155,852.355,754.697,667.94,590.945,522.67,462.167,408.584,361.151,319.178,282.049,249.215,1884.64
1919,75.0014,309.998,829.447,1642.31,2688.42,3654.02,4429.49,4974.18,5293.22,5415.77,5379.76,5223.59,4982.1,4684.88,4355.67,4012.68,3669.35,3335.13,3016.35,2716.95,2442.24,2186.06,1952.31,1740.26,1548.83,1376.67,1222.32,1084.31,961.169,851.482,753.924,667.256,590.34,522.134,461.694,408.165,360.781,318.851,281.76,248.96,1882.71
1920,74.9116,309.649,828.599,1640.82,2685.95,3651.68,4427.21,4971.88,5290.24,5411.59,5374.62,5218.11,4976.78,4679.95,4351.19,4008.68,3665.79,3331.98,3013.58,2714.52,2436.94,2184.52,1950.92,1739.03,1547.73,1375.69,1221.46,1083.55,960.488,850.879,753.39,666.783,589.922,521.764,461.367,407.876,360.525,318.625,281.561,248.783,1881.38
1921,74.8135,309.279,827.666,1639.14,2683.5,3648.3,4424.34,4969.27,5287.71,5408.45,5370.38,5213.03,4971.48,4674.87,4346.53,4004.49,3662.07,3328.69,3010.69,2711.98,2434.71,2179.73,1949.51,1737.77,1546.61,1374.69,1220.57,1082.76,959.791,850.262,752.843,666.3,589.494,521.386,461.032,407.58,360.264,318.394,281.357,248.603,1880.01
1922,74.7072,308.874,826.675,1637.3,2680.76,3645.05,4420.49,4966.49,5285.51,5406.51,5367.92,5209.56,4967.25,4670.46,4342.35,4000.7,3658.69,3325.72,3008.09,2709.71,2432.73,2178.01,1945.48,1736.72,1545.68,1373.87,1219.84,1082.11,959.214,849.75,752.39,665.898,589.139,521.072,460.755,407.335,360.047,318.202,281.187,248.453,1878.88
1923,74.5914,308.435,825.593,1635.34,2677.75,3641.38,4416.7,4962.44,5282.92,5404.67,5366.42,5207.59,4964.34,4666.86,4338.61,3997.17,3655.52,3322.92,3005.64,2707.58,2430.89,2176.41,1944.1,1733.27,1544.87,1373.15,1219.2,1081.54,958.712,849.306,751.996,665.55,588.831,520.799,460.514,407.122,359.858,318.036,281.04,248.323,1877.9
1924,74.4641,307.957,824.42,1633.2,2674.54,3637.26,4412.15,4958.01,5278.38,5401.76,5364.31,5205.86,4962.2,4663.88,4335.04,3993.51,3652.1,3319.87,3002.96,2705.24,2428.85,2174.65,1942.57,1731.95,1541.72,1372.36,1218.5,1080.92,958.161,848.817,751.564,665.168,588.492,520.5,460.249,406.888,359.652,317.853,280.879,248.18,1876.82
1925,74.3259,307.431,823.141,1630.87,2671.05,3633.02,4407.55,4953.63,5274.63,5398.18,5362.51,5204.88,4961.57,4662.83,4333.16,3991.04,3649.51,3317.45,3000.81,2703.38,2427.25,2173.28,1941.4,1730.95,1540.86,1369.84,1218.05,1080.52,957.807,848.504,751.287,664.922,588.275,520.308,460.079,406.738,359.519,317.736,280.775,248.089,1876.12
