"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1916,71.1842,306.241,825.853,1634.59,2669.22,3518.43,4091.85,4391.76,4463.9,4366.4,4153.99,3871.67,3553.56,3223.9,2899.02,2589.2,2300.41,2038.24,1797.62,1581.55,1388.83,1217.79,1066.59,933.319,816.13,713.264,623.096,544.144,475.072,414.683,361.911,315.816,275.565,240.425,209.753,182.986,159.629,139.249,121.468,105.956,723.422
1917,71.1179,305.95,825.271,1633.55,2667.63,3516.23,4088.81,4387.99,4459.81,4362.36,4150.21,3868.25,3550.51,3221.23,2896.69,2587.19,2298.67,2034.05,1796.61,1580.66,1388.05,1217.1,1065.99,932.793,815.67,712.862,622.745,543.838,474.805,414.449,361.708,315.638,275.409,240.289,209.635,182.883,159.539,139.17,121.4,105.896,723.015
1918,71.0435,305.665,824.485,1632.39,2665.91,3513.95,4085.67,4383.75,4454.77,4357.08,4145.1,3863.53,3546.26,3217.46,2893.38,2584.31,2296.16,2031.88,1792.35,1579.28,1386.83,1216.04,1065.05,931.976,814.955,712.237,622.199,543.361,474.389,414.086,361.391,315.362,275.168,240.079,209.451,182.723,159.399,139.048,121.293,105.803,722.381
1919,70.9617,305.345,823.717,1630.84,2664.02,3511.6,4082.78,4379.97,4449.95,4351.6,4139.54,3858.27,3541.47,3213.18,2889.62,2581.01,2293.3,2029.39,1790.2,1575.33,1385.43,1214.81,1063.98,931.036,814.133,711.519,621.572,542.813,473.91,413.668,361.026,315.043,274.89,239.837,209.24,182.538,159.238,138.908,121.171,105.697,721.652
1920,70.8747,304.994,822.856,1629.32,2661.5,3509.3,4080.62,4377.85,4447.32,4348.18,4135.6,3854.28,3537.74,3209.84,2886.68,2578.46,2291.09,2027.49,1788.57,1573.93,1382.4,1213.96,1063.24,930.387,813.566,711.023,621.138,542.435,473.58,413.38,360.774,314.824,274.699,239.669,209.094,182.411,159.127,138.811,121.086,105.623,721.149
1921,70.7797,304.62,821.908,1627.62,2659.03,3505.97,4077.91,4375.48,4445.1,4345.54,4132.28,3850.55,3534.03,3206.41,2883.62,2575.79,2288.78,2025.51,1786.86,1572.47,1381.15,1211.29,1062.48,929.722,812.985,710.515,620.695,542.047,473.241,413.084,360.517,314.599,274.503,239.498,208.945,182.281,159.013,138.712,121,105.548,720.634
1922,70.6765,304.211,820.9,1625.74,2656.25,3502.78,4074.27,4372.96,4443.17,4343.87,4130.26,3847.92,3531.04,3203.43,2880.89,2573.38,2286.69,2023.71,1785.33,1571.16,1380.03,1210.34,1060.26,929.171,812.503,710.094,620.327,541.726,472.961,412.84,360.303,314.412,274.34,239.356,208.821,182.173,158.919,138.63,120.928,105.485,720.207
1923,70.5641,303.768,819.799,1623.75,2653.2,3499.17,4070.7,4369.3,4440.91,4342.3,4128.99,3846.34,3528.9,3200.97,2878.44,2571.14,2284.73,2022.02,1783.89,1569.93,1378.99,1209.45,1059.51,927.306,812.085,709.729,620.008,541.447,472.717,412.627,360.117,314.251,274.199,239.233,208.714,182.079,158.837,138.559,120.866,105.431,719.836
1924,70.4406,303.285,818.605,1621.57,2649.94,3495.11,4066.41,4365.31,4437,4339.89,4127.29,3844.96,3527.27,3198.86,2876.08,2568.82,2282.62,2020.18,1782.31,1568.58,1377.84,1208.48,1058.69,926.604,810.413,709.327,619.657,541.141,472.45,412.394,359.914,314.073,274.043,239.098,208.595,181.976,158.748,138.48,120.798,105.371,719.428
1925,70.3066,302.754,817.303,1619.21,2646.4,3490.94,4062.07,4361.34,4433.73,4336.89,4125.81,3844.15,3526.71,3198.03,2874.77,2567.23,2281.03,2018.73,1781.05,1567.51,1376.94,1207.72,1058.05,926.068,809.963,708.011,619.432,540.944,472.278,412.244,359.783,313.959,273.944,239.011,208.52,181.91,158.69,138.43,120.754,105.333,719.167
1926,70.1589,302.178,815.872,1616.63,2642.54,3486.22,4057.06,4356.4,4429.35,4333.33,4122.61,3842.44,3525.67,3197.25,2873.77,2565.84,2279.42,2017.14,1779.61,1566.27,1375.88,1206.82,1057.29,925.43,809.425,707.556,618.229,540.701,472.066,412.058,359.621,313.817,273.821,238.903,208.426,181.828,158.618,138.368,120.699,105.285,718.843
1927,69.9955,301.543,814.32,1613.8,2638.32,3481.01,4051.16,4350.31,4423.44,4328.1,4118.28,3838.56,3523.27,3195.55,2872.4,2564.35,2277.65,2015.25,1777.79,1564.64,1374.46,1205.61,1056.25,924.549,808.676,706.919,617.686,539.523,471.742,411.775,359.374,313.602,273.633,238.739,208.283,181.703,158.51,138.273,120.616,105.213,718.35
1928,69.8173,300.841,812.609,1610.73,2633.71,3475.53,4045.34,4344.38,4417.72,4322.8,4113.77,3834.97,3520.12,3193.74,2871.19,2563.41,2276.58,2013.91,1776.32,1563.22,1373.19,1204.5,1055.31,923.748,807.998,706.345,617.2,539.111,470.768,411.54,359.168,313.422,273.476,238.602,208.163,181.599,158.419,138.193,120.547,105.153,717.939
1929,69.6218,300.075,810.717,1607.35,2628.7,3469.43,4038.86,4337.92,4411.41,4316.9,4108.42,3830.47,3516.54,3190.63,2869.34,2562.13,2275.56,2012.8,1775,1561.79,1371.83,1203.29,1054.26,922.848,807.233,705.695,616.648,538.643,470.37,410.657,358.934,313.217,273.297,238.446,208.027,181.48,158.315,138.103,120.469,105.084,717.469
1930,69.408,299.235,808.653,1603.61,2623.18,3462.86,4031.85,4331.08,4404.95,4310.81,4102.88,3825.55,3512.47,3187.43,2866.58,2560.51,2274.46,2011.93,1774.05,1560.65,1370.6,1202.11,1053.21,921.941,806.458,705.038,616.091,538.17,469.968,410.315,358.169,313.017,273.123,238.294,207.894,181.364,158.214,138.015,120.392,105.017,717.011
1931,69.1731,298.316,806.388,1599.52,2617.06,3455.46,4023.84,4322.95,4397.27,4303.73,4096.35,3819.68,3507.31,3183.15,2863.18,2557.58,2272.6,2010.59,1772.96,1559.53,1369.35,1200.82,1051.99,920.855,805.517,704.231,615.402,537.583,469.469,409.89,357.805,312.293,272.898,238.098,207.723,181.215,158.084,137.901,120.292,104.93,716.42
1932,68.9171,297.306,803.912,1595.04,2610.4,3447.45,4015.42,4314.64,4389.36,4296.59,4089.98,3813.94,3502.24,3178.76,2859.59,2554.77,2270.2,2009.12,1771.93,1558.71,1368.48,1199.83,1050.95,919.87,804.64,703.472,614.753,537.031,468.999,409.491,357.466,312.003,272.29,237.923,207.571,181.082,157.968,137.8,120.204,104.853,715.894
1933,68.6377,296.206,801.191,1590.15,2603.09,3438.69,4006.12,4305.62,4380.92,4288.86,4083.19,3808,3496.97,3174.16,2855.64,2551.56,2267.71,2007,1770.63,1557.8,1367.76,1199.07,1050.08,918.957,803.776,702.704,614.089,536.463,468.516,409.08,357.117,311.706,272.037,237.393,207.418,180.948,157.851,137.698,120.116,104.776,715.366
1934,68.3336,295.005,798.226,1584.76,2595.11,3429.16,3996.21,4296.05,4372.21,4281.05,4076.25,3802.05,3491.86,3169.69,2851.78,2548.28,2265.08,2004.98,1768.93,1556.81,1367.09,1198.55,1049.52,918.284,803.056,702.017,613.477,535.935,468.065,408.698,356.793,311.432,271.804,237.195,206.975,180.832,157.75,137.61,120.038,104.709,714.907
1935,68.0016,293.698,794.99,1578.9,2586.32,3418.61,3985.04,4285.29,4362.33,4272.38,4068.68,3795.45,3486.28,3164.95,2847.66,2544.75,2262.08,2002.58,1767.09,1555.26,1366.18,1197.92,1049.02,917.759,802.439,701.363,612.856,535.382,467.588,408.29,356.446,311.138,271.555,236.983,206.795,180.44,157.643,137.517,119.957,104.638,714.423
1936,67.6384,292.271,791.468,1572.5,2576.75,3407,3972.68,4273.14,4351.19,4262.51,4060.22,3788.2,3480.04,3159.72,2843.25,2540.94,2258.83,1999.83,1764.88,1553.56,1364.74,1197.05,1048.42,917.279,801.937,700.787,612.252,534.811,467.08,407.851,356.072,310.82,271.285,236.754,206.6,180.274,157.293,137.416,119.87,104.562,713.902
1937,67.2397,290.71,787.622,1565.53,2566.29,3394.32,3958.98,4259.55,4338.48,4251.24,4050.47,3779.98,3473.08,3153.78,2838.3,2536.77,2255.24,1996.77,1762.3,1551.48,1363.13,1195.69,1047.56,916.667,801.445,700.285,611.694,534.236,466.54,407.372,355.657,310.465,270.983,236.497,206.381,180.087,157.134,137.099,119.771,104.476,713.316
1938,66.8007,288.996,783.415,1557.92,2554.93,3380.61,3944.41,4245.1,4324.92,4239.04,4039.96,3771.08,3465.7,3147.62,2833.09,2532.47,2251.64,1993.69,1759.68,1549.28,1361.36,1194.33,1046.42,915.963,800.947,699.887,611.284,533.773,466.06,406.919,355.255,310.118,270.686,236.244,206.166,179.905,156.978,136.966,119.5,104.395,712.763
