"cap","table.Year","table.Age0","table.Age1","table.Age2","table.Age3","table.Age4","table.Age5","table.Age6","table.Age7","table.Age8","table.Age9","table.Age10","table.Age11","table.Age12","table.Age13","table.Age14","table.Age15","table.Age16","table.Age17","table.Age18","table.Age19","table.Age20","table.Age21","table.Age22","table.Age23","table.Age24","table.Age25","table.Age26","table.Age27","table.Age28","table.Age29","table.Age30","table.Age31","table.Age32","table.Age33","table.Age34","table.Age35","table.Age36","table.Age37","table.Age38","table.Age39","table.Age40"
"Biomass at age for female from the base model.",1916,70.0441,301.401,812.808,1608.7,2625.7,3460.2,4023.52,4317.99,4388.57,4292.44,4083.38,3805.65,3492.75,3168.54,2849.06,2544.42,2260.47,2002.59,1766.07,1553.69,1364.26,1196.17,1047.57,916.61,801.458,700.388,611.8,534.237,466.386,407.068,355.237,309.967,270.439,235.933,205.818,179.538,156.608,136.603,119.15,103.926,709.103
"Biomass at age for female from the base model.",1917,69.9815,301.126,812.26,1607.72,2624.2,3458.11,4020.6,4314.34,4384.6,4288.51,4079.69,3802.3,3489.77,3165.92,2846.78,2542.44,2258.76,1998.59,1765.06,1552.8,1363.48,1195.48,1046.97,916.085,800.999,699.986,611.449,533.931,466.119,406.835,355.034,309.789,270.284,235.798,205.7,179.436,156.519,136.525,119.082,103.866,708.697
"Biomass at age for female from the base model.",1918,69.9111,300.857,811.521,1606.63,2622.58,3455.95,4017.59,4310.22,4379.68,4283.33,4074.68,3797.66,3485.59,3162.21,2843.52,2539.6,2256.28,1996.45,1760.97,1551.42,1362.27,1194.41,1046.04,915.268,800.285,699.362,610.904,533.455,465.703,406.472,354.717,309.513,270.043,235.588,205.517,179.276,156.379,136.403,118.976,103.773,708.064
"Biomass at age for female from the base model.",1919,69.8338,300.555,810.796,1605.17,2620.8,3453.73,4014.84,4306.58,4374.99,4277.97,4069.23,3792.49,3480.87,3158,2839.8,2536.34,2253.45,1993.99,1758.84,1547.61,1360.87,1193.19,1044.96,914.329,799.463,698.644,610.277,532.908,465.225,406.054,354.353,309.195,269.766,235.346,205.306,179.091,156.219,136.263,118.854,103.667,707.337
"Biomass at age for female from the base model.",1920,69.7517,300.222,809.981,1603.74,2618.43,3451.58,4012.84,4304.62,4372.5,4274.67,4065.4,3788.6,3477.23,3154.73,2836.92,2533.84,2251.28,1992.12,1757.23,1546.23,1357.97,1192.34,1044.22,913.68,798.896,698.148,609.844,532.529,464.895,405.766,354.101,308.976,269.574,235.179,205.16,178.964,156.108,136.166,118.769,103.593,706.836
"Biomass at age for female from the base model.",1921,69.6619,299.869,809.084,1602.12,2616.09,3448.45,4010.31,4302.41,4370.44,4272.18,4062.19,3784.98,3473.61,3151.37,2833.93,2531.22,2249.01,1990.16,1755.55,1544.79,1356.73,1189.78,1043.46,913.016,798.315,697.641,609.401,532.142,464.557,405.471,353.844,308.751,269.378,235.008,205.011,178.834,155.994,136.067,118.683,103.518,706.322
"Biomass at age for female from the base model.",1922,69.5647,299.483,808.133,1600.35,2613.47,3445.44,4006.9,4300.08,4368.68,4270.66,4060.31,3782.46,3470.71,3148.48,2831.26,2528.86,2246.97,1988.41,1754.05,1543.51,1355.63,1188.84,1041.35,912.466,797.834,697.22,609.033,531.822,464.277,405.227,353.631,308.565,269.216,234.866,204.887,178.726,155.9,135.985,118.611,103.456,705.896
"Biomass at age for female from the base model.",1923,69.4587,299.065,807.093,1598.47,2610.58,3442.03,4003.54,4296.67,4366.61,4269.26,4059.19,3781,3468.67,3146.1,2828.89,2526.69,2245.06,1986.76,1752.64,1542.31,1354.61,1187.97,1040.61,910.688,797.416,696.855,608.714,531.543,464.033,405.015,353.445,308.403,269.075,234.743,204.78,178.633,155.818,135.914,118.549,103.401,705.526
"Biomass at age for female from the base model.",1924,69.3422,298.61,805.966,1596.41,2607.51,3438.2,3999.49,4292.91,4362.94,4267.03,4057.65,3779.76,3467.16,3144.09,2826.6,2524.43,2243.01,1984.96,1751.09,1540.99,1353.49,1187.02,1039.8,909.997,795.821,696.454,608.364,531.237,463.766,404.781,353.242,308.226,268.92,234.608,204.662,178.53,155.729,135.836,118.481,103.342,705.12
"Biomass at age for female from the base model.",1925,69.2158,298.109,804.739,1594.18,2604.17,3434.27,3995.4,4289.19,4359.91,4264.28,4056.34,3779.09,3466.73,3143.36,2825.38,2522.92,2241.47,1983.56,1749.87,1539.95,1352.61,1186.28,1039.18,909.473,795.381,695.204,608.139,531.04,463.595,404.632,353.111,308.112,268.82,234.521,204.586,178.464,155.671,135.785,118.437,103.304,704.859
