"Year","Recruitment (1,000s)","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2015,19026.8,9798.56394731976,36946.1402901824,-0.417309,-0.978042936193002,0.143424936193002
2016,104518,63524.525057672,171965.273476385,1.28103,0.98184541768793,1.58021458231207
2017,29093,14855.7297135612,56974.8282527888,-0.000775583,-0.538575980609899,0.537024814609899
2018,11057.2,5074.92117019435,24091.3440307326,-0.983312,-1.65543656932637,-0.311187430673633
2019,8610.19,3786.06694665293,19581.1043176717,-1.24756,-1.97149817722167,-0.523621822778332
2020,9220.16,3876.08955996132,21932.2461750467,-1.19451,-1.97982052946957,-0.409199470530429
2021,19559.9,8031.40912060278,47636.6827121971,-0.46011,-1.29678334564843,0.376563345648427
2022,20930.1,7272.15113158431,60239.2714457466,-0.408311,-1.48236734359998,0.66574534359998
2023,30767.8,10292.7593021837,91973.1521011237,-0.0355762,-1.16060532694591,1.08945292694591
2024,26638.2,8821.56736507956,80438.5059789883,-0.188407,-1.32407873138197,0.947264731381966
2025,31795.4,10200.8122957195,99104.6038151509,0,-1.17597839072403,1.17597839072403
