Year,(1-SPR)/(1-SPR 50\%),Lower Interval,Upper Interval,Exploitation Rate,Lower Interval,Upper Interval
2015,0.144,0.092,0.197,0.007,0.005,0.009
2016,0.161,0.104,0.218,0.008,0.006,0.011
2017,0.736,0.546,0.926,0.050,0.035,0.065
2018,1.070,0.844,1.296,0.086,0.059,0.112
2019,1.054,0.816,1.291,0.083,0.056,0.110
2020,1.041,0.790,1.291,0.072,0.047,0.098
2021,1.210,0.944,1.476,0.097,0.060,0.133
2022,1.270,0.989,1.551,0.116,0.069,0.164
2023,1.248,0.936,1.560,0.119,0.065,0.173
2024,1.257,0.909,1.605,0.121,0.060,0.181
