"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Biomass (mt)","83190.8","68029.2830015521","98352.3169984479"
"Unfished Age 4+ Biomass (mt)","154268","126102.337560167","182433.662439833"
"Unfished Recruitment (R0)","34670.8","23043.2156635169","46298.3843364831"
"2025 Spawning Biomass (mt)","43099.9","19114.6447427926","67085.1552572074"
"2025 Fraction Unfished","0.518085","0.311216681323751","0.724953318676249"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Biomass (mt) SB40\%","33276.3","27211.7010404768","39340.8989595232"
"SPR Resulting in SB40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SB40\%","0.087466","0.0789329244001478","0.0959990755998522"
"Yield with SPR Based On SB40\% (mt)","6003.89","4567.60095263327","7440.17904736674"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Biomass (mt) (SPR50)","37115.9","30351.5350990764","43880.2649009236"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0760775","0.0685784229998318","0.0835765770001682"
"Yield with SPR50 at SB SPR (mt)","5725.23","4359.6780127993","7090.7819872007"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Biomass (mt) at MSY (SB MSY)","22052.7","18084.9293100573","26020.4706899427"
"SPR MSY","0.336536","0.333375048484293","0.339696951515707"
"Exploitation Rate Corresponding to SPR MSY","0.131421","0.118035719962181","0.144806280037819"
"MSY (mt)","6419.23","4868.68877208247","7969.77122791753"
