"table.Year","table..1.SPR...1.SPR50..","table.Lower.Interval..SPR.","table.Upper.Interval..SPR.","table.Exploitation.Rate","table.Lower.Interval..Rate.","table.Upper.Interval..Rate.","cap"
2016,0.161199,0.104430211158985,0.217967788841015,0.00840339,0.0058302120836169,0.0109765679163831,"Estimated recent trend in relative fishing intensity (1-SPR)/(1-SPR50%), where SPR is the spawning potential ratio, and the exploitation rate, along with the 95 percent confidence intervals for both quantities."
2017,0.736208,0.546218499165813,0.926197500834187,0.0496841,0.0348036810362149,0.0645645189637852,"Estimated recent trend in relative fishing intensity (1-SPR)/(1-SPR50%), where SPR is the spawning potential ratio, and the exploitation rate, along with the 95 percent confidence intervals for both quantities."
2018,1.07014,0.844320789557233,1.29595921044277,0.0855249,0.0593456610584985,0.111704138941501,"Estimated recent trend in relative fishing intensity (1-SPR)/(1-SPR50%), where SPR is the spawning potential ratio, and the exploitation rate, along with the 95 percent confidence intervals for both quantities."
2019,1.05354,0.815878687162642,1.29120131283736,0.0827456,0.0557733596303536,0.109717840369646,"Estimated recent trend in relative fishing intensity (1-SPR)/(1-SPR50%), where SPR is the spawning potential ratio, and the exploitation rate, along with the 95 percent confidence intervals for both quantities."
2020,1.04078,0.790079046773497,1.2914809532265,0.0723537,0.0468800480929329,0.0978273519070671,"Estimated recent trend in relative fishing intensity (1-SPR)/(1-SPR50%), where SPR is the spawning potential ratio, and the exploitation rate, along with the 95 percent confidence intervals for both quantities."
2021,1.20989,0.944234521571456,1.47554547842854,0.0965787,0.0604953710518207,0.132662028948179,"Estimated recent trend in relative fishing intensity (1-SPR)/(1-SPR50%), where SPR is the spawning potential ratio, and the exploitation rate, along with the 95 percent confidence intervals for both quantities."
2022,1.2703,0.989280363896647,1.55131963610335,0.116363,0.0691429596952657,0.163583040304734,"Estimated recent trend in relative fishing intensity (1-SPR)/(1-SPR50%), where SPR is the spawning potential ratio, and the exploitation rate, along with the 95 percent confidence intervals for both quantities."
2023,1.24828,0.936232174057394,1.56032782594261,0.119037,0.065413169368578,0.172660830631422,"Estimated recent trend in relative fishing intensity (1-SPR)/(1-SPR50%), where SPR is the spawning potential ratio, and the exploitation rate, along with the 95 percent confidence intervals for both quantities."
2024,1.25706,0.908876318074429,1.60524368192557,0.120756,0.0600492515212471,0.181462748478753,"Estimated recent trend in relative fishing intensity (1-SPR)/(1-SPR50%), where SPR is the spawning potential ratio, and the exploitation rate, along with the 95 percent confidence intervals for both quantities."
2025,1.41766,1.05799876898096,1.77732123101904,0.149776,0.0659379525721038,0.233614047427896,"Estimated recent trend in relative fishing intensity (1-SPR)/(1-SPR50%), where SPR is the spawning potential ratio, and the exploitation rate, along with the 95 percent confidence intervals for both quantities."
