"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 4+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2025,6044.8,10668.6,75772.2,43099.9,0.518085
2026,4922.83,9823.6,65776.8,37314.6,0.448543
2027,4150.04,3839.29,59000,32253.8,0.387709
2028,4156.77,3773.42,58882.8,31050.3,0.373242
2029,4341.2,3904.48,60245.7,30636,0.368262
2030,4603.05,4129.24,62004.2,30778.8,0.369979
2031,4882.62,4380.67,63770.4,31251.4,0.37566
2032,5130.04,4614.82,65397.8,31869.6,0.38309
2033,5320.25,4797.44,66805.8,32496.9,0.390631
2034,5457.31,4923.05,68001.8,33067.9,0.397495
2035,5556.67,5001.01,69030.9,33572.2,0.403557
2036,5633.2,5047.34,69942.7,34023.7,0.408984
