"Quantity","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","879.67482","1039.42793","6345.92737","10493.16811","9289.44322","8355.23895437","10866.88616","12094.4316347","10990.57173","9735.1172","NA"
"Total Dead","879.85982","1039.6021","6361.50027","10522.92101","9315.29462","8379.59265437","10899.73416","12129.7126347","11023.50333","9764.1159","NA"
"(1-SPR)/(1-SPR_50%)","0.141316","0.157648","0.723087","1.05303","1.03424","1.01895","1.18529","1.24307","1.21705","1.22145",NA
"Exploitation Rate","0.00686924","0.00819584","0.0484094","0.0831698","0.080218","0.0698294","0.0928853","0.111417","0.113337","0.114252",NA
"Age 4+ Biomass (mt)","128087","126845","131410","126523","116125","120001","117347","108867","97263.1","85461.5","152974"
"Spawning Biomass (mt)","63610.2","66386.2","68065.9","66165.6","62309.4","59432","57764","55462.1","52106.1","47913.7","43099.9"
"Lower Interval","42856.3373641038","45230.3487508747","46830.0822203054","45084.8153714825","41242.9231085697","38142.0872143321","35884.334051384","32704.5661827085","28525.3813092017","23894.3413694616","19114.6447427926"
"Upper Interval","84364.0626358962","87542.0512491253","89301.7177796946","87246.3846285175","83375.8768914303","80721.9127856679","79643.665948616","78219.6338172915","75686.8186907983","71933.0586305383","67085.1552572074"
"Recruits","19026.8","104518","29093","11057.2","8610.19","9220.16","19559.9","20930.1","30767.8","26638.2","31795.4"
"Lower Interval","9798.56394731976","63524.525057672","14855.7297135612","5074.92117019435","3786.06694665293","3876.08955996132","8031.40912060278","7272.15113158431","10292.7593021837","8821.56736507956","10200.8122957195"
"Upper Interval","36946.1402901824","171965.273476385","56974.8282527888","24091.3440307326","19581.1043176717","21932.2461750467","47636.6827121971","60239.2714457466","91973.1521011237","80438.5059789883","99104.6038151509"
"Fraction Unfished","0.764631","0.798","0.81819","0.795348","0.748995","0.714406","0.694357","0.666686","0.626345","0.57595","0.518085"
"Lower Interval","0.607184153175921","0.642030966020264","0.666352374103276","0.646492263309355","0.598691241917577","0.560244248810408","0.533045692187603","0.493118449403079","0.438625333456309","0.376609902988369","0.311216681323751"
"Upper Interval","0.922077846824079","0.953969033979736","0.970027625896724","0.944203736690645","0.899298758082423","0.868567751189592","0.855668307812397","0.840253550596921","0.814064666543691","0.775290097011631","0.724953318676249"
