"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1916,16856.9,14900.8,13168.6,11637,10282.9,9085.98,8028.04,7093.04,6266.75,5536.54,4891.27,4321.06,3817.22,3372.02,2978.67,2631.14,2324.11,2055.53,1815.32,1603.18,1415.84,1250.38,1104.26,975.221,861.257,760.612,671.727,593.23,523.905,462.682,408.614,360.863,318.693,281.451,248.561,219.514,193.862,171.207,151.2,133.531,1009.14
1917,16841.5,14887,13159.5,11629.7,10276.9,9080.45,8022.2,7086.97,6260.96,5531.37,4886.78,4317.22,3813.93,3369.21,2976.27,2629.08,2322.34,2051.34,1814.28,1602.27,1415.03,1249.67,1103.63,974.663,860.765,760.177,671.343,592.891,523.606,462.418,408.38,360.657,318.511,281.29,248.419,219.389,193.751,171.11,151.114,133.455,1008.56
1918,16824.3,14873.4,13147.3,11621.7,10270.5,9074.71,8016.19,7080.19,6253.83,5524.56,4880.67,4311.88,3809.32,3365.24,2972.84,2626.13,2319.79,2049.13,1810.01,1600.84,1413.77,1248.56,1102.65,973.796,859.999,759.5,670.745,592.363,523.14,462.006,408.016,360.336,318.227,281.04,248.198,219.193,193.579,170.957,150.979,133.336,1007.66
1919,16805.3,14858.2,13135.3,11610.9,10263.4,9068.79,8010.65,7074.2,6247.09,5517.55,4874.01,4305.91,3804.1,3360.72,2968.93,2622.75,2316.86,2046.6,1807.82,1596.86,1412.32,1247.28,1101.52,972.798,859.117,758.722,670.058,591.756,522.604,461.533,407.598,359.967,317.901,280.752,247.943,218.969,193.38,170.782,150.825,133.199,1006.63
1920,16785.2,14841.5,13121.9,11600.3,10253.9,9062.98,8006.53,7070.93,6243.57,5513.29,4869.35,4301.4,3800.04,3357.18,2965.89,2620.13,2314.62,2044.67,1806.15,1595.42,1409.25,1246.39,1100.74,972.109,858.509,758.184,669.584,591.337,522.234,461.206,407.31,359.712,317.676,280.553,247.768,218.814,193.243,170.661,150.718,133.105,1005.92
1921,16763.2,14823.7,13107.1,11588.5,10244.6,9054.6,8001.34,7067.2,6240.59,5510.09,4865.51,4297.21,3795.99,3353.53,2962.71,2617.39,2312.27,2042.65,1804.42,1593.93,1407.96,1243.66,1099.94,971.404,857.886,757.634,669.098,590.908,521.855,460.871,407.014,359.451,317.446,280.349,247.588,218.655,193.103,170.537,150.608,133.008,1005.19
1922,16739.4,14804.3,13091.4,11575.4,10234.1,9046.53,7994.38,7063.25,6237.99,5508.11,4863.28,4294.35,3792.76,3350.38,2959.86,2614.92,2310.14,2040.83,1802.86,1592.6,1406.82,1242.68,1097.67,970.819,857.37,757.178,668.695,590.552,521.541,460.594,406.769,359.234,317.255,280.181,247.439,218.523,192.987,170.435,150.518,132.928,1004.58
1923,16713.5,14783.3,13074.3,11561.6,10222.6,9037.41,7987.53,7057.5,6234.93,5506.24,4861.92,4292.72,3790.54,3347.79,2957.31,2612.61,2308.13,2039.11,1801.39,1591.35,1405.75,1241.77,1096.89,968.889,856.921,756.782,668.345,590.243,521.268,460.353,406.556,359.047,317.089,280.034,247.309,218.409,192.886,170.346,150.439,132.859,1004.06
1924,16684.9,14760.3,13055.7,11546.4,10210.4,9027.18,7979.3,7051.19,6229.57,5503.27,4860.02,4291.3,3788.9,3345.65,2954.87,2610.22,2305.97,2037.23,1799.79,1589.97,1404.58,1240.76,1096.03,968.15,855.174,756.347,667.961,589.904,520.968,460.088,406.323,358.84,316.906,279.873,247.167,218.284,192.775,170.248,150.353,132.783,1003.48
1925,16654,14735.2,13035.5,11530,10197,9016.66,7970.98,7044.97,6225.14,5499.63,4858.39,4290.5,3788.42,3344.9,2953.59,2608.6,2304.34,2035.75,1798.5,1588.88,1403.65,1239.98,1095.36,967.589,854.697,754.96,667.715,589.686,520.776,459.918,406.173,358.708,316.789,279.77,247.076,218.203,192.704,170.185,150.297,132.734,1003.11
1926,16619.9,14707.8,13013.2,11512.1,10182.5,9004.75,7961.36,7037.15,6219.15,5495.25,4854.75,4288.68,3787.38,3344.18,2952.67,2607.25,2302.71,2034.13,1797.03,1587.6,1402.56,1239.05,1094.58,966.919,854.127,754.473,666.432,589.417,520.538,459.708,405.987,358.544,316.645,279.642,246.963,218.103,192.616,170.107,150.228,132.673,1002.65
