"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1916,16912.4,14763.9,12885.2,11245,9812.94,8562.87,7471.75,6519.44,5688.34,4963.04,4330.09,3777.75,3295.76,2875.19,2508.22,2188.04,1908.68,1667.07,1453.96,1268.1,1105.99,964.608,841.299,733.753,639.955,558.148,486.798,424.569,370.295,322.959,281.674,245.667,214.262,186.873,162.984,142.149,123.978,108.129,94.3069,82.2513,561.176
1917,16897.3,14750.5,12876.6,11238.1,9807.35,8557.69,7466.32,6513.94,5683.2,4958.49,4326.18,3774.42,3292.95,2872.81,2506.21,2186.33,1907.24,1663.74,1453.13,1267.37,1105.36,964.056,840.818,733.333,639.589,557.828,486.519,424.326,370.083,322.774,281.513,245.526,214.14,186.766,162.891,142.068,123.907,108.067,94.2529,82.2042,560.854
1918,16880.3,14737.3,12864.9,11230.5,9801.27,8552.36,7460.74,6507.73,5676.82,4952.51,4320.86,3769.82,3289,2869.44,2503.34,2183.88,1905.15,1661.95,1449.76,1266.24,1104.37,963.196,840.068,732.679,639.018,557.331,486.085,423.947,369.753,322.486,281.262,245.307,213.949,186.599,162.745,141.941,123.796,107.971,94.1688,82.1309,560.354
1919,16861.6,14722.4,12853.4,11220.3,9794.64,8546.87,7455.63,6502.23,5670.73,4946.32,4315.08,3764.69,3284.55,2865.62,2500.07,2181.09,1902.76,1659.9,1448.01,1263.14,1103.24,962.208,839.205,731.927,638.362,556.758,485.586,423.512,369.373,322.155,280.973,245.055,213.729,186.407,162.578,141.795,123.669,107.86,94.0721,82.0466,559.779
1920,16841.8,14706.2,12840.4,11210.3,9785.8,8541.54,7451.91,6499.26,5667.52,4942.5,4311.02,3760.83,3281.12,2862.65,2497.53,2178.93,1900.93,1658.35,1446.68,1262.01,1100.88,961.525,838.61,731.408,637.91,556.363,485.242,423.212,369.111,321.927,280.774,244.881,213.577,186.275,162.463,141.695,123.582,107.784,94.0054,81.9884,559.381
1921,16820.1,14688.9,12826.2,11199,9777.05,8533.8,7447.21,6495.93,5664.84,4939.62,4307.63,3757.23,3277.7,2859.61,2494.9,2176.68,1899.01,1656.72,1445.3,1260.83,1099.88,959.457,838.001,730.876,637.446,555.959,484.889,422.904,368.843,321.693,280.57,244.703,213.422,186.14,162.345,141.592,123.492,107.705,93.937,81.9288,558.975
1922,16796.7,14670,12811.1,11186.6,9767.25,8526.35,7440.88,6492.41,5662.55,4937.86,4305.63,3754.73,3274.96,2856.98,2492.55,2174.66,1897.29,1655.26,1444.06,1259.78,1098.99,958.703,836.302,730.436,637.062,555.624,484.597,422.649,368.62,321.499,280.4,244.556,213.293,186.027,162.247,141.506,123.417,107.64,93.8804,81.8793,558.638
1923,16771.1,14649.5,12794.7,11173.4,9756.46,8517.92,7434.64,6487.26,5659.87,4936.24,4304.44,3753.28,3273.04,2854.82,2490.46,2172.78,1895.67,1653.88,1442.9,1258.81,1098.17,958.004,835.71,729.013,636.728,555.333,484.343,422.428,368.427,321.33,280.253,244.428,213.182,185.93,162.162,141.432,123.353,107.584,93.8312,81.8364,558.345
1924,16742.9,14627.2,12776.8,11159.1,9744.97,8508.43,7427.12,6481.58,5655.12,4933.66,4302.8,3752.05,3271.61,2853,2488.45,2170.85,1893.94,1652.39,1441.63,1257.73,1097.26,957.233,835.058,728.459,635.454,555.013,484.064,422.184,368.215,321.145,280.092,244.287,213.059,185.823,162.069,141.351,123.282,107.522,93.7772,81.7893,558.023
1925,16712.4,14602.6,12757.3,11143.5,9732.48,8498.71,7419.53,6475.97,5651.19,4930.48,4301.42,3751.39,3271.21,2852.34,2487.37,2169.54,1892.64,1651.22,1440.63,1256.88,1096.54,956.636,834.558,728.04,635.103,554.017,483.885,422.028,368.079,321.026,279.988,244.197,212.98,185.754,162.009,141.299,123.236,107.482,93.7425,81.7591,557.817
