"cap","table.Year","table.Age0","table.Age1","table.Age2","table.Age3","table.Age4","table.Age5","table.Age6","table.Age7","table.Age8","table.Age9","table.Age10","table.Age11","table.Age12","table.Age13","table.Age14","table.Age15","table.Age16","table.Age17","table.Age18","table.Age19","table.Age20","table.Age21","table.Age22","table.Age23","table.Age24","table.Age25","table.Age26","table.Age27","table.Age28","table.Age29","table.Age30","table.Age31","table.Age32","table.Age33","table.Age34","table.Age35","table.Age36","table.Age37","table.Age38","table.Age39","table.Age40"
"Numbers at age for females from the base model.",1916,16912.4,14944.7,13202.9,11663.3,10302.7,9100.36,8038.02,7099.46,6270.3,5537.81,4890.75,4319.15,3814.25,3368.28,2974.37,2626.47,2319.2,2050.43,1810.23,1598.16,1410.94,1245.65,1099.72,970.89,857.151,756.736,668.085,589.82,520.723,459.721,405.865,358.318,316.341,279.282,246.565,217.68,192.179,169.665,149.789,132.241,996.589
"Numbers at age for females from the base model.",1917,16897.3,14931.1,13194,11656.2,10296.8,9094.91,8032.25,7093.45,6264.56,5532.68,4886.29,4315.33,3810.99,3365.49,2971.98,2624.42,2317.45,2046.34,1809.19,1597.24,1410.13,1244.93,1099.09,970.333,856.66,756.303,667.702,589.482,520.424,459.457,405.632,358.113,316.16,279.122,246.423,217.555,192.069,169.568,149.703,132.166,996.018
"Numbers at age for females from the base model.",1918,16880.3,14917.8,13182,11648.3,10290.4,9089.27,8026.32,7086.72,6257.48,5525.91,4880.22,4310.03,3806.4,3361.53,2968.57,2621.48,2314.9,2044.14,1805,1595.82,1408.87,1243.82,1098.11,969.467,855.895,755.628,667.107,588.956,519.96,459.047,405.27,357.793,315.878,278.873,246.203,217.361,191.897,169.417,149.57,132.048,995.129
"Numbers at age for females from the base model.",1919,16861.6,14902.8,13170.2,11637.7,10283.5,9083.45,8020.87,7080.81,6250.79,5518.94,4873.6,4304.09,3801.21,3357.03,2964.68,2618.11,2312,2041.62,1802.81,1591.91,1407.42,1242.55,1096.98,968.472,855.016,754.852,666.422,588.351,519.426,458.576,404.854,357.426,315.554,278.587,245.951,217.138,191.7,169.243,149.416,131.912,994.107
"Numbers at age for females from the base model.",1920,16841.8,14886.3,13156.9,11627.3,10274.2,9077.76,8016.85,7077.62,6247.34,5514.74,4868.98,4299.61,3797.17,3353.52,2961.66,2615.52,2309.76,2039.7,1801.16,1590.49,1404.42,1241.66,1096.2,967.785,854.409,754.316,665.949,587.933,519.058,458.25,404.567,357.172,315.33,278.389,245.776,216.984,191.564,169.123,149.31,131.819,993.401
"Numbers at age for females from the base model.",1921,16820.1,14868.8,13142.4,11615.6,10265,9069.54,8011.76,7073.98,6244.43,5511.6,4865.19,4295.47,3793.16,3349.9,2958.5,2612.8,2307.43,2037.7,1799.44,1589,1403.14,1238.99,1095.41,967.081,853.788,753.768,665.465,587.506,518.68,457.917,404.273,356.912,315.1,278.187,245.597,216.826,191.425,169,149.202,131.723,992.679
"Numbers at age for females from the base model.",1922,16796.7,14849.7,13126.9,11602.8,10254.7,9061.61,8004.94,7070.12,6241.91,5509.69,4863.02,4292.65,3789.97,3346.77,2955.68,2610.34,2305.32,2035.89,1797.9,1587.68,1402.01,1238.02,1093.19,966.498,853.273,753.313,665.063,587.152,518.367,457.641,404.029,356.697,314.91,278.019,245.449,216.695,191.309,168.898,149.112,131.643,992.08
"Numbers at age for females from the base model.",1923,16771.1,14828.9,13110,11589.1,10243.4,9052.63,7998.21,7064.5,6238.95,5507.89,4861.71,4291.07,3787.78,3344.22,2953.15,2608.06,2303.33,2034.19,1796.44,1586.44,1400.95,1237.11,1092.41,964.614,852.826,752.918,664.715,586.844,518.096,457.401,403.817,356.51,314.745,277.873,245.321,216.582,191.209,168.809,149.033,131.574,991.56
"Numbers at age for females from the base model.",1924,16742.9,14806.4,13091.7,11574.2,10231.3,9042.56,7990.11,7058.3,6233.7,5505,4859.87,4289.7,3786.2,3342.12,2950.75,2605.69,2301.2,2032.33,1794.85,1585.08,1399.78,1236.12,1091.56,963.881,851.12,752.485,664.332,586.506,517.797,457.138,403.584,356.305,314.564,277.713,245.179,216.457,191.099,168.712,148.948,131.498,990.989
"Numbers at age for females from the base model.",1925,16712.4,14781.5,13071.8,11558.1,10218.2,9032.21,7981.93,7052.2,6229.37,5501.46,4858.31,4288.96,3785.77,3341.41,2949.5,2604.11,2299.59,2030.86,1793.58,1584,1398.87,1235.34,1090.9,963.327,850.649,751.134,664.086,586.289,517.606,456.969,403.435,356.173,314.448,277.61,245.089,216.377,191.028,168.65,148.892,131.45,990.623
