"cap","table.Year","table.Total.Biomass..mt.","table.Spawning.Biomass..mt.","table.Total.Biomass.4...mt.","table.Fraction.Unfished","table.Age.0.Recruits..1.000s.","table.Total.Mortality..mt.","table..1.SPR...1.SPR_50..","table.Exploitation.Rate"
"Time series of population estimates from the base model.",1916,156922,81591.3,151259,0.99825897794787,33824.8,78.37263,0.0117788,0.00051813531756788
"Time series of population estimates from the base model.",1917,156798,81526.4,151140,0.99746493486155,33794.6,121.94727,0.0182936,0.000806849741961096
"Time series of population estimates from the base model.",1918,156634,81437.6,150980,0.996378478373643,33760.6,140.1834,0.0210278,0.000928489866207445
"Time series of population estimates from the base model.",1919,156456,81340.2,150807,0.995186802000646,33723.3,96.77879,0.0145724,0.00064173937549318
"Time series of population estimates from the base model.",1920,156324,81269.4,150680,0.994320573179206,33683.6,99.0504,0.014925,0.000657355986195912
"Time series of population estimates from the base model.",1921,156190,81198.8,150552,0.993456791331839,33640.3,82.12646,0.0123983,0.00054550228492481
"Time series of population estimates from the base model.",1922,156072,81138.7,150441,0.992721475623244,33593.3,71.29717,0.0107786,0.00047392113851942
"Time series of population estimates from the base model.",1923,155962,81084.6,150338,0.992059569136805,33542.1,78.30202,0.0118406,0.000520839840891857
"Time series of population estimates from the base model.",1924,155841,81025.7,150224,0.991338935272642,33485.9,50.29657,0.00762559,0.000334810483012035
"Time series of population estimates from the base model.",1925,155741,80980.9,150133,0.990790813080545,33424.9,62.26091,0.0094432,0.000414705028208322
"Time series of population estimates from the base model.",1926,155622,80926.5,150022,0.990125236132998,33357.6,94.72768,0.014334,0.000631425257628881
"Time series of population estimates from the base model.",1927,155463,80850.6,149873,0.989196609472726,33283.1,78.6686,0.0119105,0.000524901750148459
"Time series of population estimates from the base model.",1928,155311,80780.5,149732,0.988338945060538,33201.9,89.5677,0.0135517,0.00059818676034515
"Time series of population estimates from the base model.",1929,155138,80700.3,149572,0.987357708457721,33112.7,86.996,0.0131514,0.000581632925948707
"Time series of population estimates from the base model.",1930,154958,80617.2,149404,0.986340990730862,33015.1,112.5701,0.0170437,0.00075346108537924
"Time series of population estimates from the base model.",1931,154740,80515,149201,0.98509058698014,32907.7,100.116,0.0151827,0.000671014269341358
"Time series of population estimates from the base model.",1932,154521,80414.7,148998,0.983863429483101,32790.8,100.3135,0.0152258,0.000673254003409442
"Time series of population estimates from the base model.",1933,154288,80308.2,148781,0.982560415789834,32663,86.2188,0.0130579,0.000579501414831195
"Time series of population estimates from the base model.",1934,154050,80202.7,148563,0.981269636966927,32523.9,91.23,0.0138535,0.000614082914319178
"Time series of population estimates from the base model.",1935,153789,80086.4,148322,0.979846721544138,32371.9,98.4206,0.0149742,0.000663560361915292
"Time series of population estimates from the base model.",1936,153498,79957.1,148054,0.978264752806679,32205.6,110.9042,0.0169209,0.000749079389952315
"Time series of population estimates from the base model.",1937,153171,79810.9,147751,0.976476014760147,32022.9,103.8825,0.0158401,0.00070309168804272
"Time series of population estimates from the base model.",1938,152825,79657.6,147433,0.974600409134065,31821.6,84.1661,0.0128597,0.000570876940712052
"Time series of population estimates from the base model.",1939,152470,79503.1,147107,0.972710121663551,31599.1,77.0011,0.0117511,0.000523436002365625
"Time series of population estimates from the base model.",1940,152088,79338.7,146757,0.97069870897648,31354.9,121.4003,0.0184776,0.000827219825970822
"Time series of population estimates from the base model.",1941,151627,79133.6,146332,0.968189337065784,31087.2,130.4653,0.0198494,0.000891570538228139
"Time series of population estimates from the base model.",1942,151119,78907.4,145863,0.965421809390508,30796.8,147.987,0.0224487,0.00101456160918122
"Time series of population estimates from the base model.",1943,150553,78653.6,145340,0.962316599293314,30491.4,495.365,0.0736278,0.00340831842576029
"Time series of population estimates from the base model.",1944,149614,78184.8,144448,0.956580892068868,30173.7,969.996,0.140693,0.00671519162605228
