"Year","BottomTrawl_CA","BottomTrawl_OR","BottomTrawl_WA","MidwaterTrawl_CA","MidwaterTrawl_OR","MidwaterTrawl_WA","Net_CA","Net_WA","HnL_CA","HnL_OR","HnL_WA"
1971,0,0,0,0,0,408,0,0,0,0,0
1977,0,0,0,96,0,0,0,0,0,0,0
1978,303,0,0,0,0,0,66,0,0,0,0
1979,436,0,0,0,0,0,34,0,7,0,0
1980,727,0,0,13,0,1900,0,0,1,0,2
1981,444,250,0,1340,1746,3100,0,0,19,0,0
1982,932,792,0,3144,3960,4100,1,0,84,0,0
1983,1352,478,0,1411,321,2500,103,0,31,0,0
1984,1722,2394,0,1278,1525,2199,126,0,11,0,0
1985,1853,2233,0,1176,3971,1600,557,0,8,0,0
1986,1740,1425,0,1032,2788,2650,321,0,120,0,0
1987,998,865,0,1744,2198,1942,262,0,11,0,0
1988,763,916,350,1230,1239,700,334,0,3,0,0
1989,1007,1099,700,1325,1843,800,450,0,23,0,0
1990,1202,1320,550,1510,1454,1500,612,0,37,0,0
1991,1596,1569,997,761,1442,750,268,0,75,0,0
1992,1470,1982,1100,222,1760,450,231,0,689,2,0
1993,1682,1410,1400,231,1156,400,275,0,238,0,0
1994,1359,1464,650,112,557,842,410,0,554,0,0
1995,1539,1066,850,519,296,800,175,0,22,0,0
1996,1364,845,704,437,316,650,132,0,80,0,0
1997,2063,1231,557,382,620,950,80,0,212,0,0
1998,1368,1013,865,125,291,400,179,0,318,0,0
1999,1420,727,952,240,514,550,1,0,104,20,0
2000,263,0,101,641,1147,950,0,0,65,1,0
2001,139,98,2,349,960,550,0,0,4,20,0
2002,318,185,136,39,319,500,2,0,74,0,0
2003,234,0,46,0,0,208,0,0,0,0,0
2004,26,18,3,0,0,508,0,0,0,0,0
2005,27,48,0,0,0,399,0,0,4,0,0
2006,79,58,7,0,0,461,0,0,36,1,0
2007,12,302,104,0,0,250,0,0,64,1,0
2008,8,274,76,0,0,1086,0,0,27,0,0
2009,170,316,0,0,0,1079,0,0,0,0,0
2010,205,233,100,0,0,903,0,0,0,5,0
2011,32,246,93,0,30,550,0,0,17,0,0
2012,136,353,241,0,95,688,0,0,9,7,0
2013,153,365,39,0,215,486,0,0,102,1,0
2014,134,324,106,0,150,700,0,0,242,4,0
2015,263,295,0,0,530,400,0,0,45,11,2
2016,143,254,0,0,210,100,0,0,38,4,24
2017,316,864,0,158,949,125,0,0,73,3,23
2018,645,161,12,507,1492,350,0,0,32,7,10
2019,566,346,50,90,1149,600,0,0,47,6,7
2020,593,228,0,83,759,233,0,0,134,15,1
2021,850,226,8,183,890,307,0,0,67,3,0
2022,272,185,0,502,1025,180,0,0,11,7,3
2023,376,135,0,316,1125,571,0,0,18,97,13
2024,540,164,0,0,1255,830,0,0,268,86,10
