Retrospective,Base Model,Retro -1,Retro -2,Retro -3,Retro -4,Retro -5
M (females),0.12,0.13,0.14,0.14,0.14,0.14
Lmin (females),20.65,20.56,20.54,20.40,20.41,20.36
Lmax (females),49.52,49.70,50.04,50.07,50.18,50.20
k (females),0.18,0.18,0.18,0.18,0.18,0.18
CV old (females),0.12,0.12,0.12,0.12,0.12,0.12
CV young (females),0.05,0.05,0.04,0.04,0.04,0.04
M (males),0.14,0.14,0.15,0.15,0.15,0.15
Lmin (males),21.04,21.05,21.02,21.10,21.16,21.16
Lmax (males),43.64,43.76,43.86,44.05,44.14,44.18
k (males),0.24,0.24,0.24,0.24,0.24,0.23
CV old (males),0.09,0.09,0.10,0.10,0.10,0.10
CV young (males),0.06,0.06,0.06,0.05,0.05,0.05
lnR0,10.44,10.50,10.64,10.66,10.69,10.69
SB0,81734,79220,82577,85581,88283,88093
SB final year,40603,36546,41101,42587,48218,47517
Depletion Final Year (%),49.68,46.13,49.77,49.76,54.62,53.94
Yield SPR 50,5628,5736,6329,6514,6727,6702
h (steepness),0.72,0.72,0.72,0.72,0.72,0.72
Likelihood,difference from base model likelihood,,,,,
Total,7664.49,7553.87,7444.31,7342.89,7274.85,7252.30
Survey,13.02,12.01,12.19,8.73,2.95,3.00
Discard,5410.79,5410.78,5402.22,5384.36,5376.48,5374.50
Length,854.97,829.68,788.03,764.60,744.61,733.24
Age,1366.28,1284.89,1229.12,1174.31,1140.14,1131.15
Recruitment,17.84,15.03,10.98,9.16,9.05,8.81
Forecast Rec,0.60,0.21,0.15,0.11,0.00,0.00
Priors,0.98,1.26,1.60,1.60,1.60,1.60
Parameter,0.00,0.00,0.00,0.00,0.00,0.00
