Label,Base,Fixed natural mortality to 2015 prior,Fixed natural mortality to 2011 prior,Midwatertrawl asymptotic selectivity forced,Logistic selectivity curves for surveys,Inclusing of shrimp trawl,New Washington catch reconstruction,Fixed steepness at 0.4,Fixed steepness at 0.6,Fixed steepness at 0.798 (2015 assessment),Exclusion of triennial survey,Francis weighting
M (females),0.125,0.1,0.124,0.152,0.123,0.125,0.125,0.125,0.111,0.125,0.127,0.135
Lmin (females),20.652,20.666,20.707,21.313,20.417,20.652,20.652,20.655,21.386,20.655,20.511,20.685
Lmax (females),49.524,49.403,49.508,49.617,49.364,49.524,49.524,49.526,49.376,49.526,49.464,49.474
k (females),0.181,0.184,0.182,0.172,0.187,0.181,0.181,0.181,0.179,0.181,0.183,0.177
CV old (females),0.116,0.116,0.115,0.105,0.119,0.116,0.116,0.116,0.104,0.116,0.118,0.118
CV young (females),0.048,0.049,0.048,0.051,0.048,0.048,0.048,0.048,0.05,0.048,0.048,0.046
M (males),0.137,0.1,0.129,0.16,0.136,0.137,0.137,0.137,0.122,0.137,0.14,0.148
Lmin (males),21.041,21.118,21.092,20.973,21.019,21.041,21.041,21.04,21.119,21.04,21.056,20.607
Lmax (males),43.637,43.462,43.527,43.054,43.838,43.637,43.637,43.632,43.237,43.632,43.649,43.546
k (males),0.245,0.245,0.244,0.256,0.244,0.245,0.245,0.245,0.256,0.245,0.243,0.257
CV old (males),0.094,0.092,0.093,0.092,0.096,0.094,0.094,0.094,0.092,0.094,0.094,0.102
CV young (males),0.057,0.058,0.058,0.058,0.055,0.057,0.057,0.057,0.059,0.057,0.057,0.052
lnR0,10.437,9.898,10.349,10.942,10.405,10.437,10.437,10.425,10.319,10.425,10.502,10.704
Virgin recruitment (thousands),34.103,19.899,31.238,56.483,33.014,34.103,34.103,33.709,30.29,33.709,36.393,44.556
SSB unfished (mt),151584,139734,145723,174575,150977,151584,151584,149523,164926,149523,156464,170203
SB0 (thousand mt),81.734,72.835,75.759,88.4,81.91,81.734,81.734,80.64,90.3,80.64,84.482,90.227
SSB 2025 (thousand mt),40.603,19.951,35.214,62.364,38.632,40.603,40.603,44.088,56.194,44.088,44.929,47.773
B ratio 2025,0.497,0.274,0.465,0.705,0.472,0.497,0.497,0.547,0.622,0.547,0.532,0.529
SPR ratio 2025,1.257,1.657,1.312,0.852,1.308,1.257,1.257,1.21,1.396,1.21,1.193,1.11
Likelihood,Difference from base model,,,,,,,,,,,
Total,7664.49,21.71,5.4,47.62,0.13,0,0,-0.22,223.11,-0.22,-94.91,-1227.44
Survey,13.022,2.609,0.322,1.172,0.238,0,0,0.085,-1.161,0.085,-1.276,0.424
Length,854.968,1.593,-1.324,11.621,11.797,0,0,0.427,148.202,0.427,-92.247,-622.004
Age,1366.28,9.67,5.79,35.5,-11.87,0,0,-0.36,60.69,-0.36,-0.43,-594.783
Discards,5410.79,0.71,0.16,-0.18,-0.01,0,0,-0.01,-0.14,-0.01,-0.02,0.05
Recruitment,17.84,7.922,0.661,-2.01,0.049,0,0,-0.302,6.924,-0.302,-0.79,-11.321
Forecast recruitment,0.601,0.138,0.017,-0.063,-0.038,0,0,-0.038,8.682,-0.038,-0.037,-0.291
Parameter Priors,0.983,-0.924,-0.234,1.577,-0.051,0,0,-0.033,-0.111,-0.033,-0.128,0.488
