"Label","January 2026 base model","M=0.1 (the median of a prior)","M fixed at 2019 model estimates","M fixed at 2015 model estimates","M prior based on max age 50","M prior based on max age 45","WCGBTS selectivity double-normal, asymptotic","WCGBTS selectivity double-normal, allowed to be dome","Recreational catches added"
"TOTAL_like",1272.08,1295.09,1272.93,1275.57,1271.6,1271.11,1273.73,1273.73,1272.09
"Survey_like",11.2502,13.8133,11.4172,12.2026,11.2557,11.2666,11.3103,11.3102,11.2523
"Length_comp_like",266.914,266.326,266.443,266.692,266.91,266.903,268.695,268.695,266.91
"Age_comp_like",981.282,992.864,982.687,983.815,981.325,981.391,981.181,981.181,981.297
"Parm_priors_like",1.36813,0.11346,1.85932,2.7931,0.932727,0.484448,1.36233,1.36233,1.36736
"NatM_uniform_Fem_GP_1",0.134991,0.1,0.144401,0.157223,0.135741,0.1368,0.134883,0.134883,0.134971
"NatM_uniform_Mal_GP_1",0.14698,0.1,0.154867,0.170452,0.147768,0.148881,0.146901,0.146901,0.14696
"SmryBio_unfished",156376,153082,159194,168259,156659,157073,155909,155909,156451
"SSB_Virgin",21110.8,21101.8,20828.2,21559.5,21111.5,21114.1,21042.4,21042.4,21122
"SSB_2025",10571.7,4605.94,11465.9,13386.6,10672.8,10814.5,10387.7,10387.7,10566.5
"Bratio_2025",0.500771,0.218272,0.550499,0.620915,0.505542,0.512194,0.493655,0.493656,0.500259
"SPRratio_2024",1.21406,1.71917,1.12239,0.98937,1.20542,1.19336,1.22564,1.22563,1.21433
"OFLCatch_2027",4916.03,1307.31,5808.56,7400.16,4995.26,5107.57,4830.94,4830.97,4914.24
"ForeCatch_2027",4596.49,350.504,5431.01,6919.15,4670.57,4775.58,4516.93,4516.95,4594.81
"Dead_Catch_MSY",6745.5,5073.13,7248.89,8243.78,6788.99,6851.14,6720.34,6720.34,6748.01
"Dead_Catch_SPR",5930.52,4548.29,6359.66,7193.19,5967.25,6019.74,5908.84,5908.84,5932.67
