"","Year","BottomTrawl_CA","BottomTrawl_OR","BottomTrawl_WA","MidwaterTrawl_CA","MidwaterTrawl_OR","MidwaterTrawl_WA","Net_CA","Net_WA","HnL_CA","HnL_OR","HnL_WA"
"1",1978,107,0,0,0,0,0,0,0,0,0,0
"2",1979,269,0,0,0,0,0,0,0,0,0,0
"3",1980,404,0,0,0,0,1775,0,0,0,0,0
"4",1981,205,109,0,598,600,3050,0,0,0,0,0
"5",1982,834,174,0,2382,1019,3944,1,0,18,0,0
"6",1983,1283,475,0,1365,321,2480,55,0,3,0,0
"7",1984,1678,600,0,1278,360,2194,89,0,5,0,0
"8",1985,1762,589,0,1176,963,1591,477,0,4,0,0
"9",1986,1704,680,0,913,939,2594,188,0,5,0,0
"10",1987,968,805,0,1742,1837,1940,186,0,0,0,0
"11",1988,692,886,298,1132,1209,695,290,0,3,0,0
"12",1989,919,1099,695,1323,1794,799,403,0,6,0,0
"13",1990,1051,1310,550,1309,1447,1497,533,0,8,0,0
"14",1991,1308,1566,991,761,1413,748,164,0,23,0,0
"15",1992,676,1889,1097,82,574,450,87,0,91,0,0
"16",1993,472,1361,1398,0,1155,400,57,0,3,0,0
"17",1994,516,1463,650,54,556,749,58,0,1,0,0
"18",1995,167,1027,850,68,276,800,0,0,0,0,0
"19",1996,873,827,699,158,292,649,88,0,7,0,0
"20",1997,892,1164,549,187,593,949,0,0,55,0,0
"21",1998,1019,987,699,82,291,400,84,0,46,0,0
"22",1999,1026,706,950,133,479,500,0,0,0,0,0
"23",2000,157,0,100,353,1067,948,0,0,12,0,0
"24",2001,43,98,0,132,858,485,0,0,0,0,0
"25",2002,294,179,99,21,319,488,2,0,0,0,0
"26",2003,87,0,0,0,0,208,0,0,0,0,0
"27",2004,7,0,3,0,0,506,0,0,0,0,0
"28",2005,0,48,0,0,0,399,0,0,0,0,0
"29",2006,74,58,6,0,0,361,0,0,5,1,0
"30",2007,11,302,54,0,0,150,0,0,23,1,0
"31",2008,8,274,75,0,0,600,0,0,0,0,0
"32",2009,81,315,0,0,0,759,0,0,0,0,0
"33",2010,54,231,50,0,0,539,0,0,0,5,0
"34",2011,0,63,84,0,30,250,0,0,0,0,0
"35",2012,0,80,73,0,0,163,0,0,0,7,0
"36",2013,0,190,26,0,90,153,0,0,0,0,0
"37",2014,0,91,52,0,30,229,0,0,0,0,0
"38",2015,0,152,0,0,69,195,0,0,0,0,1
"39",2016,0,156,0,0,36,28,0,0,0,0,24
"40",2017,0,209,0,0,223,100,0,0,0,0,23
"41",2018,0,161,12,0,495,200,0,0,0,0,10
"42",2019,0,55,49,0,176,597,0,0,0,0,1
"43",2020,0,61,0,0,134,233,0,0,0,3,0
"44",2021,0,53,8,0,135,300,0,0,0,0,0
"45",2022,0,44,0,0,281,129,0,0,0,0,3
"46",2023,0,28,0,0,312,320,0,0,0,2,13
"47",2024,0,33,0,0,248,340,0,0,0,0,0
