"","YEAR","landings_Shoreside","landings_At-Sea","lengths_Shoreside","lengths_At-Sea"
"1",1994,3,0,78,0
"2",1995,19,0,570,0
"3",1996,18,0,538,0
"4",1997,25,0,726,0
"5",1998,32,0,975,0
"6",1999,47,0,1397,0
"7",2000,28,0,841,0
"8",2001,19,0,564,0
"9",2002,2,0,49,0
"10",2003,0,37,NA,NA
"11",2004,19,0,380,0
"12",2005,1,4,50,0
"13",2006,14,7,575,0
"14",2007,16,0,712,0
"15",2008,34,619,879,1218
"16",2009,22,381,718,646
"17",2010,38,924,1029,380
"18",2011,23,932,664,509
"19",2012,19,551,394,503
"20",2013,14,871,372,509
"21",2014,20,730,578,505
"22",2015,35,474,487,628
"23",2016,49,783,680,0
"24",2017,57,950,860,0
"25",2018,52,450,331,0
"26",2019,55,447,550,0
"27",2020,35,202,404,0
"28",2021,47,286,552,0
"29",2022,65,314,737,0
"30",2023,45,454,433,0
"31",2024,42,80,339,0
