"","Parameter","Estimate","SD"
"1","LN(R0)","10.437","0.169"
"2","","",""
"3","Survey","",""
"4","Bottom trawl (q)","0.002",""
"5","Bottom trawl (extra SE)","0.164","0.061"
"6","Domestic at-sea hake (q)","0.000","0.190"
"7","Domestic at-sea hake (extra SE)","0.371","0.086"
"8","Juvenile (q)","0.195",""
"9","Juvenile (extra SE)","1.688","0.369"
"10","Foreign at-sea hake (q)","0.128","0.372"
"11","Foreign at-sea hake (extra SE)","0.000",""
"12","Triennial (q)","0.043",""
"13","Triennial (extra SE)","0.000",""
"14","NWFSC WCGBT (q)","0.000",""
"15","NWFSC WCGBT (SE)","0.578","0.152"
"16","","",""
"17","Biological - Female","",""
"18","Natural Mortality (M)","0.125","0.008"
"19","Length at age 3","20.652","0.457"
"20","Length at age 40","49.524","0.256"
"21","Von Bertalanaffy K","0.181","0.006"
"22","SD (log) at age 3","0.116","0.009"
"23","SD (log) at age 40","0.048","0.003"
"24","","",""
"25","Biological - Female","",""
"26","Natural Mortality (M)","0.137","0.008"
"27","Length at age 3","21.041","0.391"
"28","Length at age 40","43.637","0.235"
"29","Von Bertalanaffy K","0.245","0.009"
"30","SD (log) at age 3","0.094","0.007"
"31","SD (log) at age 40","0.057","0.003"
