"Yr","Total biomass(mt)","SpawningBiomass (mt)","Age 4+ biomass(mt)","SpawningDepletion(%)","Age-0 recruits","Estimated Total Catch(mt)","1- SPR(%)","Relative exploitation rate (%)"
1916,156922,81591.3,81591.3,0.99825897794787,33825,78.31,0.00588900000000003,0.0959783702429058
1917,156799,81526.4,81526.4,0.99746493486155,33794.7,121.85,0.00914700000000002,0.149460788161871
1918,156635,81437.6,81437.6,0.996378478373643,33760.7,140.07,0.010514,0.171996718960284
1919,156456,81340.2,81340.2,0.995186802000646,33723.4,96.7,0.00728600000000001,0.118883405745253
1920,156324,81269.5,81269.5,0.994321796666242,33683.7,98.97,0.007463,0.121780003568374
1921,156190,81198.9,81198.9,0.993458014818875,33640.4,82.06,0.00619899999999995,0.101060482346436
1922,156072,81138.7,81138.7,0.992721475623244,33593.4,71.24,0.00538899999999998,0.0878002728660923
1923,155962,81084.7,81084.7,0.992060792623841,33542.2,78.24,0.00592000000000004,0.0964916932540911
1924,155841,81025.8,81025.8,0.991340158759678,33485.9,50.26,0.00381299999999996,0.0620296251317482
1925,155741,80980.9,80980.9,0.990790813080545,33424.8,62.23,0.004722,0.0768452808007814
1926,155622,80926.5,80926.5,0.990125236132998,33357.5,94.64,0.00716700000000003,0.116945623497865
1927,155463,80850.7,80850.7,0.989197832959762,33283,78.55,0.00595500000000004,0.0971543845631516
1928,155311,80780.6,80780.6,0.988340168547574,33201.7,89.4,0.006776,0.11067013614655
1929,155139,80700.3,80700.3,0.987357708457721,33112.5,86.76,0.00657600000000003,0.107508894018981
1930,154958,80617.2,80617.2,0.986340990730862,33014.9,112.36,0.00852200000000003,0.139374724004307
1931,154740,80515,80515,0.98509058698014,32907.6,99.91,0.00759100000000001,0.124088679128113
1932,154521,80414.6,80414.6,0.983862205996065,32790.7,100.09,0.00761299999999998,0.124467447453572
1933,154288,80308.2,80308.2,0.982560415789834,32663.1,85.87,0.00652900000000001,0.106925569244486
1934,154050,80202.6,80202.6,0.981268413479891,32524.1,90.92,0.00692700000000002,0.11336290843439
1935,153788,80086.3,80086.3,0.979845498057103,32372.3,98.12,0.00748700000000002,0.122517833886695
1936,153497,79957,79957,0.978263529319643,32206.1,110.65,0.00846000000000002,0.138386882949585
1937,153171,79810.7,79810.7,0.976473567786076,32023.5,103.52,0.00792000000000004,0.129706918997077
1938,152825,79657.4,79657.4,0.974597962159993,31822.1,83.83,0.00643000000000005,0.105238182516627
1939,152470,79502.9,79502.9,0.972707674689479,31599.5,76.58,0.00587599999999999,0.0963235303366292
1940,152088,79338.5,79338.5,0.970696262002408,31355.1,120.64,0.009239,0.152057323997807
1941,151627,79133.5,79133.5,0.968188113578748,31087.3,129.52,0.00992499999999996,0.163672780807117
1942,151119,78907.3,78907.3,0.965420585903472,30797,146.64,0.011224,0.185838319141575
1943,150553,78653.6,78653.6,0.962316599293314,30491.7,490.63,0.036814,0.623785815271011
1944,149614,78184.8,78184.8,0.956580892068868,30174,960.69,0.070346,1.22874267120975
1945,148200,77437.8,77437.8,0.94744144391046,29842.2,1621.37,0.114933,2.09377074245394
1946,146160,76317.9,76317.9,0.933739612595065,29500.8,1160.06,0.085809,1.52003658381585
1947,144613,75488.4,75488.4,0.923590787632014,29188.8,643.21,0.049786,0.852064688084527
