"","Yr","Total biomass(mt)","SpawningBiomass (mt)","Age 4+ biomass(mt)","SpawningDepletion(%)","Age-0 recruits","Estimated Total Catch(mt)","1- SPR(%)","Relative exploitation rate (%)"
"1",1916,156922,81591.3,81591.3,0.99825897794787,33824.8,78.31,0.00588900000000003,0.0959783702429058
"2",1917,156798,81526.4,81526.4,0.99746493486155,33794.6,121.85,0.00914700000000002,0.149460788161871
"3",1918,156634,81437.6,81437.6,0.996378478373643,33760.6,140.07,0.010514,0.171996718960284
"4",1919,156456,81340.2,81340.2,0.995186802000646,33723.3,96.7,0.00728600000000001,0.118883405745253
"5",1920,156324,81269.4,81269.4,0.994320573179206,33683.6,98.97,0.007463,0.121780153415677
"6",1921,156190,81198.8,81198.8,0.993456791331839,33640.3,82.06,0.00619899999999995,0.101060606806997
"7",1922,156072,81138.7,81138.7,0.992721475623244,33593.3,71.24,0.00538899999999998,0.0878002728660923
"8",1923,155962,81084.6,81084.6,0.992059569136805,33542.1,78.24,0.00592000000000004,0.0964918122553481
"9",1924,155841,81025.7,81025.7,0.991338935272642,33485.9,50.26,0.00381299999999996,0.0620297016872425
"10",1925,155741,80980.9,80980.9,0.990790813080545,33424.9,62.23,0.004722,0.0768452808007814
"11",1926,155622,80926.5,80926.5,0.990125236132998,33357.6,94.64,0.00716700000000003,0.116945623497865
"12",1927,155463,80850.6,80850.6,0.989196609472726,33283.1,78.55,0.00595500000000004,0.0971545047284745
"13",1928,155311,80780.5,80780.5,0.988338945060538,33201.9,89.4,0.006776,0.110670273147604
"14",1929,155138,80700.3,80700.3,0.987357708457721,33112.7,86.76,0.00657600000000003,0.107508894018981
"15",1930,154958,80617.2,80617.2,0.986340990730862,33015.1,112.36,0.00852200000000003,0.139374724004307
"16",1931,154740,80515,80515,0.98509058698014,32907.7,99.91,0.00759100000000001,0.124088679128113
"17",1932,154521,80414.7,80414.7,0.983863429483101,32790.8,100.09,0.00761299999999998,0.124467292671614
"18",1933,154288,80308.2,80308.2,0.982560415789834,32663,85.87,0.00652900000000001,0.106925569244486
"19",1934,154050,80202.7,80202.7,0.981269636966927,32523.9,90.92,0.00692700000000002,0.113362767088889
"20",1935,153789,80086.4,80086.4,0.979846721544138,32371.9,98.12,0.00748700000000002,0.122517680904623
"21",1936,153498,79957.1,79957.1,0.978264752806679,32205.6,110.65,0.00846000000000002,0.138386709873169
"22",1937,153171,79810.9,79810.9,0.976476014760147,32022.9,103.52,0.00792000000000004,0.129706593961476
"23",1938,152825,79657.6,79657.6,0.974600409134065,31821.6,83.83,0.00643000000000005,0.105237918290282
"24",1939,152470,79503.1,79503.1,0.972710121663551,31599.1,76.58,0.00587599999999999,0.0963232880227312
"25",1940,152088,79338.7,79338.7,0.97069870897648,31354.9,120.64,0.009239,0.152056940685945
"26",1941,151627,79133.6,79133.6,0.968189337065784,31087.2,129.52,0.00992499999999996,0.163672573976162
"27",1942,151119,78907.4,78907.4,0.965421809390508,30796.8,146.64,0.011224,0.185838083627138
"28",1943,150553,78653.6,78653.6,0.962316599293314,30491.4,490.63,0.036814,0.623785815271011
"29",1944,149614,78184.8,78184.8,0.956580892068868,30173.7,960.69,0.070346,1.22874267120975
"30",1945,148200,77437.7,77437.7,0.947440220423424,29842,1621.37,0.114934,2.09377344626713
"31",1946,146159,76317.7,76317.7,0.933737165620993,29500.7,1160.06,0.0858100000000001,1.52004056726028
"32",1947,144612,75488.2,75488.2,0.923588340657942,29188.8,643.21,0.049786,0.852066945562353
"33",1948,143577,74968.3,74968.3,0.917227431558135,28903.5,477.66,0.037595,0.637149301771549
"34",1949,142676,74537,74537,0.911950531972163,28647.8,374.35,0.029854,0.502233789929833
"35",1950,141837,74149.6,74149.6,0.907210743194965,28440.6,423.61,0.03386,0.571291011684486
"36",1951,140906,73711.4,73711.4,0.901849423003514,28306.4,553.94,0.044094,0.751498411371918
"37",1952,139816,73174.5,73174.5,0.895280521107598,28275.2,541.48,0.043439,0.739984557461957
"38",1953,138724,72625.7,72625.7,0.888566024254407,28391.5,469.3,0.038091,0.646189985087923
"39",1954,137704,72102.6,72102.6,0.88216596356945,28699.8,447.93,0.036687,0.621239733379934
"40",1955,136728,71580.9,71580.9,0.875783031702996,29238.8,464.99,0.03831,0.64960066162901
"41",1956,135789,71046.3,71046.3,0.869242270008907,30020,600.88,0.049423,0.84575832942743
"42",1957,134818,70444.1,70444.1,0.861874431078528,30973.5,760.73,0.0623590000000001,1.07990591121187
"43",1958,133849,69781,69781,0.853761488543267,31880.7,701.63,0.058288,1.00547426950029
"44",1959,133154,69210.3,69210.3,0.846779048029207,32404.4,671.58,0.056345,0.970346899233207
"45",1960,132741,68740.6,68740.6,0.841032329421437,32333.3,810.87,0.067762,1.17960855738821
"46",1961,132460,68303.1,68303.1,0.835679573639238,31945.6,677.09,0.057463,0.991302005326259
"47",1962,132566,68082.8,68082.8,0.832984231699081,31951.1,757.55,0.064069,1.11268925484851
"48",1963,132800,67965.8,67965.8,0.831552751867041,32897.2,433.41,0.037578,0.637688366796242
"49",1964,133508,68177.3,68177.3,0.834140426948036,34288.7,601.29,0.051246,0.881950443916083
"50",1965,134174,68400.3,68400.3,0.836868803038163,35901.2,259.46,0.022586,0.379325821670373
"51",1966,135317,68894.5,68894.5,0.842915275969736,37707.8,4287.26,0.276036,6.22293506738564
"52",1967,132867,67091.8,67091.8,0.820859475173001,37601.9,4821.34,0.306514,7.18618370650363
"53",1968,130427,65184.8,65184.8,0.79752757739779,35264.1,2388.48,0.182425,3.66416710644199
