"Year","Catch_low","OFL_low","Fraction_unfished_low","OFL_base","Fraction_unfished_base","OFL_high","Fraction_unfished_high"
2025,10669,3845,0.292,6134,0.501,7906,0.632
2026,9824,3163,0.251,5340,0.456,6985,0.585
2027,4596,2818,0.215,4916,0.417,6470,0.542
2028,4810,3079,0.213,5172,0.415,6692,0.538
2029,5137,3412,0.217,5548,0.42,7064,0.541
2030,5409,3666,0.223,5866,0.429,7386,0.548
2031,5545,3771,0.229,6047,0.438,7566,0.556
2032,5585,3753,0.232,6117,0.445,7639,0.563
2033,5572,3665,0.233,6130,0.451,7659,0.567
2034,5535,3557,0.231,6123,0.455,7661,0.571
2035,5504,3460,0.228,6116,0.458,7662,0.574
2036,5480,3386,0.224,6116,0.461,7665,0.576
