"Year","Catch_low","Age4+_low","Fraction_unfished_4+_low","Age4+_base","Fraction_unfished_4+_base","Age4+_high","Fraction_unfished_4+_high"
2025,10669,54904,0.317,82550,0.529,101480,0.655
2026,9824,48825,0.282,76358,0.489,94789,0.611
2027,4596,45640,0.264,73427,0.471,91645,0.591
2028,4810,48087,0.278,76229,0.489,94257,0.608
2029,5137,49984,0.289,78501,0.503,96265,0.621
2030,5409,51118,0.295,80251,0.514,97815,0.631
2031,5545,51344,0.297,81389,0.522,98851,0.638
2032,5585,50992,0.295,82102,0.526,99521,0.642
2033,5572,50325,0.291,82560,0.529,99971,0.645
2034,5535,49556,0.286,82897,0.531,100305,0.647
2035,5504,48817,0.282,83192,0.533,100589,0.649
2036,5480,48154,0.278,83475,0.535,100841,0.651
