"Year","Catch_low","SpawnOutput_low","Fraction_unfished_low","SpawnOutput_base","Fraction_unfished_base","SpawnOutput_high","Fraction_unfished_high"
2025,10669,7044,0.292,10572,0.501,12935,0.632
2026,9824,6039,0.251,9630,0.456,11972,0.585
2027,4596,5183,0.215,8799,0.417,11102,0.542
2028,4810,5136,0.213,8763,0.415,11022,0.538
2029,5137,5231,0.217,8870,0.42,11084,0.541
2030,5409,5388,0.223,9054,0.429,11230,0.548
2031,5545,5525,0.229,9246,0.438,11387,0.556
2032,5585,5601,0.232,9403,0.445,11519,0.563
2033,5572,5609,0.233,9521,0.451,11617,0.567
2034,5535,5563,0.231,9606,0.455,11691,0.571
2035,5504,5486,0.228,9672,0.458,11751,0.574
2036,5480,5398,0.224,9726,0.461,11800,0.576
